	CM006	CM007	CM009	CM018	CM021	CM025	CM033	CM039	CM040	CM041	CM048	CM064	CM068	CM078	CM081	CM084	CM085	CM086	CM089	CM095	CM096	CM107	CM110	CM113	CM117	CM118	CM126	CM130	CM145	CM153	CM154	CM155	CM156	CM159	CM160	CM165	CM166	CM168	CM171	CM176	CM179	CM181	CM182	CM183	CM184	CM185	CM190	CM194	CM196	CM198	CM199	CM213	CM215	CM217	CM219	CM221	CM222	CM227	CM228	CM229	CM230	CM244	CM246	CM247	CM250	CM253	CM254	CM255	CM257	CM259	CM260	CM261	CM262	CM263	CM264	CM265	CM266	CM268	CM271	CM273	CM279	CM293	CM297	CM298	CM316	CM324	CM337	CM338	CM341	CM348	CM360	CM362	CM371	CM372	CM383	CM387	CM396	CM404	CM405	CM406	CM411	CM434	CM436	CM437	CM438	CM439	CM441	CM442	CM443	CM444	CM445	CM448	CM449	CM451	CM452	CM455	CM457	CM459	CM461	CM469	CM471	CM476	CM482	CM485	CM486	CM489	CM501	CM503	CM515	CM517	CM518	CM520	CM521	CM522	CM524	CM526	CM531	CM534	CM535	CM538	CM539	CM540	CM544	CM545	CM547	CM548	CM549	CM554	CM557
CM518	0.34951456310679613	0.49514563106796117	0.39805825242718446	0.49514563106796117	0.34951456310679613	0.34951456310679613	0.5533980582524272	0.5436893203883495	0.4174757281553398	0.39805825242718446	0.4563106796116505	0.5533980582524272	0.5145631067961165	0.5242718446601942	0.4563106796116505	0.6601941747572816	0.5436893203883495	0.4854368932038835	0.5631067961165048	0.49514563106796117	0.47572815533980584	0.6504854368932039	0.6310679611650486	0.7087378640776699	0.5436893203883495	0.5922330097087378	0.6019417475728155	0.5048543689320388	0.4174757281553398	0.44660194174757284	0.5242718446601942	0.6796116504854369	0.6601941747572816	0.5825242718446602	0.5728155339805825	0.6699029126213593	0.6893203883495146	0.4563106796116505	0.46601941747572817	0.46601941747572817	0.5436893203883495	0.46601941747572817	0.34951456310679613	0.34951456310679613	0.39805825242718446	0.47572815533980584	0.5145631067961165	0.4174757281553398	0.46601941747572817	0.5242718446601942	0.4368932038834951	0.4368932038834951	0.3786407766990291	0.4077669902912621	0.4077669902912621	0.3883495145631068	0.5242718446601942	0.5533980582524272	0.46601941747572817	0.36893203883495146	0.42718446601941745	0.4563106796116505	0.42718446601941745	0.46601941747572817	0.49514563106796117	0.3786407766990291	0.3786407766990291	0.46601941747572817	0.4077669902912621	0.3786407766990291	0.3592233009708738	0.39805825242718446	0.36893203883495146	0.3300970873786408	0.34951456310679613	0.3592233009708738	0.47572815533980584	0.5533980582524272	0.42718446601941745	0.5533980582524272	0.3883495145631068	0.4854368932038835	0.5631067961165048	0.4563106796116505	0.5922330097087378	0.3786407766990291	0.33980582524271846	0.3106796116504854	0.32038834951456313	0.4854368932038835	0.6213592233009708	0.7475728155339806	0.3883495145631068	0.5825242718446602	0.6213592233009708	0.5728155339805825	0.3300970873786408	0.5631067961165048	0.47572815533980584	0.30097087378640774	0.42718446601941745	0.6796116504854369	0.4368932038834951	0.4174757281553398	0.4174757281553398	0.44660194174757284	0.4368932038834951	0.4368932038834951	0.5048543689320388	0.3786407766990291	0.3592233009708738	0.34951456310679613	0.5048543689320388	0.49514563106796117	0.36893203883495146	0.3592233009708738	0.4563106796116505	0.4563106796116505	0.5048543689320388	0.34951456310679613	0.32038834951456313	0.4854368932038835	0.5242718446601942	0.5533980582524272	0.3300970873786408	0.4563106796116505	0.5922330097087378	0.5242718446601942	0.5339805825242718	0.4174757281553398	0.0	0.4174757281553398	0.4077669902912621	0.36893203883495146	0.3300970873786408	0.49514563106796117	0.44660194174757284	0.33980582524271846	0.30097087378640774	0.4174757281553398	0.5242718446601942	0.4563106796116505	0.3106796116504854	0.4077669902912621	0.49514563106796117	0.5533980582524272	0.46601941747572817	0.4077669902912621	0.4563106796116505
CM520	0.5436893203883495	0.2912621359223301	0.5048543689320388	0.39805825242718446	0.4077669902912621	0.49514563106796117	0.39805825242718446	0.6699029126213593	0.5048543689320388	0.5339805825242718	0.22330097087378642	0.6990291262135923	0.6310679611650486	0.5922330097087378	0.5533980582524272	0.7184466019417476	0.6116504854368932	0.6504854368932039	0.6213592233009708	0.4174757281553398	0.3300970873786408	0.6699029126213593	0.7087378640776699	0.8252427184466019	0.46601941747572817	0.6601941747572816	0.6310679611650486	0.6019417475728155	0.5145631067961165	0.5631067961165048	0.5922330097087378	0.8058252427184466	0.7281553398058253	0.6601941747572816	0.6601941747572816	0.7184466019417476	0.7766990291262136	0.5728155339805825	0.5728155339805825	0.5048543689320388	0.7087378640776699	0.42718446601941745	0.4077669902912621	0.4077669902912621	0.4368932038834951	0.5048543689320388	0.5825242718446602	0.4368932038834951	0.46601941747572817	0.6601941747572816	0.6116504854368932	0.5825242718446602	0.49514563106796117	0.4854368932038835	0.4077669902912621	0.5048543689320388	0.6310679611650486	0.39805825242718446	0.3300970873786408	0.44660194174757284	0.5825242718446602	0.5825242718446602	0.5825242718446602	0.39805825242718446	0.46601941747572817	0.3592233009708738	0.47572815533980584	0.4368932038834951	0.49514563106796117	0.3883495145631068	0.5242718446601942	0.5631067961165048	0.44660194174757284	0.3786407766990291	0.4563106796116505	0.4563106796116505	0.5728155339805825	0.34951456310679613	0.36893203883495146	0.6310679611650486	0.4563106796116505	0.6116504854368932	0.6699029126213593	0.5048543689320388	0.6213592233009708	0.47572815533980584	0.3592233009708738	0.30097087378640774	0.3106796116504854	0.47572815533980584	0.7475728155339806	0.8446601941747572	0.4077669902912621	0.6699029126213593	0.6893203883495146	0.6893203883495146	0.5242718446601942	0.3300970873786408	0.3883495145631068	0.32038834951456313	0.5145631067961165	0.8252427184466019	0.3300970873786408	0.2524271844660194	0.42718446601941745	0.20388349514563106	0.39805825242718446	0.1650485436893204	0.5048543689320388	0.42718446601941745	0.39805825242718446	0.32038834951456313	0.39805825242718446	0.1650485436893204	0.42718446601941745	0.2912621359223301	0.32038834951456313	0.22330097087378642	0.3300970873786408	0.47572815533980584	0.4077669902912621	0.42718446601941745	0.5922330097087378	0.4368932038834951	0.46601941747572817	0.6116504854368932	0.36893203883495146	0.3786407766990291	0.5922330097087378	0.4174757281553398	0.4174757281553398	0.0	0.4368932038834951	0.34951456310679613	0.44660194174757284	0.39805825242718446	0.5825242718446602	0.36893203883495146	0.49514563106796117	0.5145631067961165	0.6116504854368932	0.5631067961165048	0.39805825242718446	0.5242718446601942	0.4368932038834951	0.5922330097087378	0.5533980582524272	0.5728155339805825	0.6019417475728155
CM521	0.34951456310679613	0.6019417475728155	0.34951456310679613	0.5728155339805825	0.36893203883495146	0.4174757281553398	0.5048543689320388	0.47572815533980584	0.5728155339805825	0.3106796116504854	0.44660194174757284	0.6213592233009708	0.5436893203883495	0.5242718446601942	0.46601941747572817	0.5631067961165048	0.4563106796116505	0.5145631067961165	0.5339805825242718	0.5728155339805825	0.49514563106796117	0.4368932038834951	0.49514563106796117	0.6407766990291263	0.5728155339805825	0.4368932038834951	0.44660194174757284	0.4368932038834951	0.2912621359223301	0.3786407766990291	0.5728155339805825	0.7184466019417476	0.5436893203883495	0.46601941747572817	0.5631067961165048	0.6019417475728155	0.6601941747572816	0.4854368932038835	0.5728155339805825	0.5145631067961165	0.5631067961165048	0.5436893203883495	0.4077669902912621	0.4174757281553398	0.44660194174757284	0.5242718446601942	0.5728155339805825	0.5145631067961165	0.5242718446601942	0.5048543689320388	0.5436893203883495	0.4563106796116505	0.42718446601941745	0.5048543689320388	0.44660194174757284	0.47572815533980584	0.5048543689320388	0.5728155339805825	0.5728155339805825	0.47572815533980584	0.4854368932038835	0.5436893203883495	0.42718446601941745	0.4077669902912621	0.5242718446601942	0.5145631067961165	0.36893203883495146	0.5728155339805825	0.5145631067961165	0.47572815533980584	0.4563106796116505	0.4368932038834951	0.4174757281553398	0.39805825242718446	0.4077669902912621	0.42718446601941745	0.5145631067961165	0.6990291262135923	0.46601941747572817	0.5436893203883495	0.3106796116504854	0.5242718446601942	0.5436893203883495	0.5436893203883495	0.4368932038834951	0.4174757281553398	0.44660194174757284	0.36893203883495146	0.3786407766990291	0.30097087378640774	0.5825242718446602	0.7864077669902912	0.3300970873786408	0.5242718446601942	0.47572815533980584	0.4368932038834951	0.4174757281553398	0.6504854368932039	0.5728155339805825	0.4077669902912621	0.44660194174757284	0.6310679611650486	0.47572815533980584	0.5048543689320388	0.4077669902912621	0.5242718446601942	0.46601941747572817	0.5048543689320388	0.5728155339805825	0.46601941747572817	0.3592233009708738	0.3786407766990291	0.5825242718446602	0.47572815533980584	0.39805825242718446	0.42718446601941745	0.42718446601941745	0.3592233009708738	0.5728155339805825	0.44660194174757284	0.4563106796116505	0.5825242718446602	0.4854368932038835	0.5728155339805825	0.3592233009708738	0.5048543689320388	0.6310679611650486	0.5533980582524272	0.4563106796116505	0.39805825242718446	0.4077669902912621	0.4368932038834951	0.0	0.34951456310679613	0.2621359223300971	0.5048543689320388	0.4854368932038835	0.4174757281553398	0.4077669902912621	0.44660194174757284	0.5242718446601942	0.5728155339805825	0.4077669902912621	0.42718446601941745	0.5436893203883495	0.4563106796116505	0.5728155339805825	0.5339805825242718	0.4368932038834951
CM522	0.3786407766990291	0.44660194174757284	0.49514563106796117	0.4174757281553398	0.39805825242718446	0.4563106796116505	0.4174757281553398	0.5631067961165048	0.3786407766990291	0.42718446601941745	0.3883495145631068	0.5436893203883495	0.4854368932038835	0.4077669902912621	0.3592233009708738	0.4854368932038835	0.4077669902912621	0.6116504854368932	0.6116504854368932	0.4174757281553398	0.33980582524271846	0.5242718446601942	0.6116504854368932	0.6990291262135923	0.4174757281553398	0.47572815533980584	0.49514563106796117	0.3883495145631068	0.42718446601941745	0.4368932038834951	0.3883495145631068	0.6407766990291263	0.6310679611650486	0.5922330097087378	0.6019417475728155	0.6504854368932039	0.6990291262135923	0.4077669902912621	0.49514563106796117	0.4368932038834951	0.6116504854368932	0.4368932038834951	0.3106796116504854	0.34951456310679613	0.34951456310679613	0.36893203883495146	0.3786407766990291	0.4174757281553398	0.34951456310679613	0.5922330097087378	0.5922330097087378	0.4368932038834951	0.3592233009708738	0.4854368932038835	0.2815533980582524	0.3786407766990291	0.5145631067961165	0.4174757281553398	0.33980582524271846	0.33980582524271846	0.5242718446601942	0.5048543689320388	0.44660194174757284	0.2912621359223301	0.42718446601941745	0.34951456310679613	0.36893203883495146	0.3883495145631068	0.4077669902912621	0.33980582524271846	0.4563106796116505	0.5631067961165048	0.3592233009708738	0.32038834951456313	0.34951456310679613	0.42718446601941745	0.47572815533980584	0.5048543689320388	0.4077669902912621	0.6213592233009708	0.23300970873786409	0.6116504854368932	0.6310679611650486	0.42718446601941745	0.47572815533980584	0.4368932038834951	0.23300970873786409	0.1553398058252427	0.2524271844660194	0.33980582524271846	0.5825242718446602	0.7864077669902912	0.3300970873786408	0.6019417475728155	0.6893203883495146	0.5339805825242718	0.4563106796116505	0.46601941747572817	0.4174757281553398	0.2524271844660194	0.4174757281553398	0.7087378640776699	0.34951456310679613	0.39805825242718446	0.3300970873786408	0.42718446601941745	0.3883495145631068	0.34951456310679613	0.47572815533980584	0.4563106796116505	0.3592233009708738	0.3300970873786408	0.4854368932038835	0.32038834951456313	0.39805825242718446	0.2912621359223301	0.4174757281553398	0.36893203883495146	0.42718446601941745	0.5048543689320388	0.32038834951456313	0.4077669902912621	0.4077669902912621	0.4174757281553398	0.2621359223300971	0.4854368932038835	0.5436893203883495	0.42718446601941745	0.5631067961165048	0.23300970873786409	0.36893203883495146	0.34951456310679613	0.34951456310679613	0.0	0.33980582524271846	0.4174757281553398	0.44660194174757284	0.3106796116504854	0.4563106796116505	0.4563106796116505	0.5728155339805825	0.4563106796116505	0.2815533980582524	0.4854368932038835	0.4174757281553398	0.6213592233009708	0.49514563106796117	0.39805825242718446	0.5048543689320388
CM524	0.33980582524271846	0.5631067961165048	0.3883495145631068	0.5048543689320388	0.3883495145631068	0.46601941747572817	0.46601941747572817	0.49514563106796117	0.46601941747572817	0.3592233009708738	0.5048543689320388	0.5922330097087378	0.46601941747572817	0.46601941747572817	0.46601941747572817	0.5145631067961165	0.42718446601941745	0.5242718446601942	0.5339805825242718	0.5048543689320388	0.42718446601941745	0.42718446601941745	0.5339805825242718	0.6310679611650486	0.46601941747572817	0.4854368932038835	0.44660194174757284	0.39805825242718446	0.32038834951456313	0.3883495145631068	0.5048543689320388	0.6893203883495146	0.5631067961165048	0.5242718446601942	0.5339805825242718	0.5631067961165048	0.6601941747572816	0.4174757281553398	0.49514563106796117	0.47572815533980584	0.6213592233009708	0.5339805825242718	0.3786407766990291	0.4077669902912621	0.4077669902912621	0.46601941747572817	0.46601941747572817	0.4368932038834951	0.4854368932038835	0.5242718446601942	0.5436893203883495	0.42718446601941745	0.33980582524271846	0.44660194174757284	0.3786407766990291	0.4174757281553398	0.5048543689320388	0.5048543689320388	0.5048543689320388	0.44660194174757284	0.47572815533980584	0.47572815533980584	0.4077669902912621	0.42718446601941745	0.47572815533980584	0.46601941747572817	0.3592233009708738	0.5048543689320388	0.47572815533980584	0.44660194174757284	0.4368932038834951	0.4368932038834951	0.3883495145631068	0.4368932038834951	0.3592233009708738	0.42718446601941745	0.5048543689320388	0.6213592233009708	0.5533980582524272	0.5922330097087378	0.30097087378640774	0.5048543689320388	0.5631067961165048	0.47572815533980584	0.47572815533980584	0.42718446601941745	0.3786407766990291	0.34951456310679613	0.3106796116504854	0.36893203883495146	0.5533980582524272	0.7572815533980582	0.2524271844660194	0.47572815533980584	0.5436893203883495	0.46601941747572817	0.39805825242718446	0.6213592233009708	0.5145631067961165	0.3883495145631068	0.4563106796116505	0.6699029126213593	0.4563106796116505	0.4854368932038835	0.3592233009708738	0.5339805825242718	0.42718446601941745	0.46601941747572817	0.5436893203883495	0.46601941747572817	0.3592233009708738	0.4368932038834951	0.5048543689320388	0.46601941747572817	0.46601941747572817	0.3106796116504854	0.46601941747572817	0.44660194174757284	0.5631067961165048	0.4368932038834951	0.44660194174757284	0.5436893203883495	0.44660194174757284	0.5048543689320388	0.2815533980582524	0.49514563106796117	0.6213592233009708	0.5145631067961165	0.4854368932038835	0.3883495145631068	0.3300970873786408	0.44660194174757284	0.2621359223300971	0.33980582524271846	0.0	0.47572815533980584	0.4563106796116505	0.34951456310679613	0.3883495145631068	0.4174757281553398	0.5825242718446602	0.46601941747572817	0.33980582524271846	0.42718446601941745	0.47572815533980584	0.5533980582524272	0.46601941747572817	0.4077669902912621	0.4174757281553398
CM526	0.5145631067961165	0.2621359223300971	0.5825242718446602	0.32038834951456313	0.47572815533980584	0.49514563106796117	0.13592233009708737	0.6116504854368932	0.42718446601941745	0.44660194174757284	0.3786407766990291	0.5533980582524272	0.5436893203883495	0.46601941747572817	0.6213592233009708	0.7669902912621359	0.6601941747572816	0.6019417475728155	0.6504854368932039	0.33980582524271846	0.2621359223300971	0.6893203883495146	0.6699029126213593	0.5728155339805825	0.32038834951456313	0.6019417475728155	0.7087378640776699	0.6213592233009708	0.46601941747572817	0.4854368932038835	0.44660194174757284	0.6990291262135923	0.6116504854368932	0.5339805825242718	0.5825242718446602	0.6116504854368932	0.6407766990291263	0.47572815533980584	0.4854368932038835	0.4854368932038835	0.6601941747572816	0.5048543689320388	0.3883495145631068	0.4563106796116505	0.3592233009708738	0.42718446601941745	0.4368932038834951	0.3592233009708738	0.34951456310679613	0.6019417475728155	0.7087378640776699	0.5048543689320388	0.5145631067961165	0.4368932038834951	0.2815533980582524	0.5242718446601942	0.46601941747572817	0.21359223300970873	0.23300970873786409	0.3883495145631068	0.5339805825242718	0.42718446601941745	0.5631067961165048	0.5145631067961165	0.4077669902912621	0.3300970873786408	0.6116504854368932	0.3592233009708738	0.5242718446601942	0.4174757281553398	0.49514563106796117	0.5922330097087378	0.39805825242718446	0.44660194174757284	0.4368932038834951	0.4854368932038835	0.5533980582524272	0.4174757281553398	0.4174757281553398	0.6019417475728155	0.5339805825242718	0.6213592233009708	0.5922330097087378	0.36893203883495146	0.6310679611650486	0.4854368932038835	0.4077669902912621	0.44660194174757284	0.3786407766990291	0.5339805825242718	0.6019417475728155	0.7864077669902912	0.42718446601941745	0.6116504854368932	0.6990291262135923	0.6699029126213593	0.5436893203883495	0.3106796116504854	0.2621359223300971	0.39805825242718446	0.4563106796116505	0.7087378640776699	0.3592233009708738	0.36893203883495146	0.4368932038834951	0.3592233009708738	0.2815533980582524	0.42718446601941745	0.4854368932038835	0.5728155339805825	0.4368932038834951	0.42718446601941745	0.2815533980582524	0.3592233009708738	0.47572815533980584	0.33980582524271846	0.2621359223300971	0.30097087378640774	0.20388349514563106	0.6213592233009708	0.4077669902912621	0.2621359223300971	0.4368932038834951	0.2912621359223301	0.3300970873786408	0.42718446601941745	0.33980582524271846	0.24271844660194175	0.5728155339805825	0.5339805825242718	0.49514563106796117	0.39805825242718446	0.5048543689320388	0.4174757281553398	0.47572815533980584	0.0	0.5728155339805825	0.44660194174757284	0.5339805825242718	0.5339805825242718	0.6699029126213593	0.4854368932038835	0.4854368932038835	0.6213592233009708	0.3786407766990291	0.6019417475728155	0.4563106796116505	0.4563106796116505	0.6213592233009708
CM531	0.3106796116504854	0.6019417475728155	0.5048543689320388	0.4854368932038835	0.4174757281553398	0.49514563106796117	0.5339805825242718	0.3786407766990291	0.33980582524271846	0.32038834951456313	0.6504854368932039	0.3106796116504854	0.3786407766990291	0.4854368932038835	0.21359223300970873	0.6116504854368932	0.4174757281553398	0.5242718446601942	0.3592233009708738	0.42718446601941745	0.4174757281553398	0.5631067961165048	0.6310679611650486	0.49514563106796117	0.49514563106796117	0.5922330097087378	0.6407766990291263	0.47572815533980584	0.46601941747572817	0.3300970873786408	0.4174757281553398	0.4563106796116505	0.4854368932038835	0.5242718446601942	0.3883495145631068	0.6310679611650486	0.6990291262135923	0.3883495145631068	0.32038834951456313	0.5048543689320388	0.5339805825242718	0.5631067961165048	0.39805825242718446	0.34951456310679613	0.39805825242718446	0.36893203883495146	0.4174757281553398	0.4854368932038835	0.42718446601941745	0.47572815533980584	0.5048543689320388	0.32038834951456313	0.36893203883495146	0.3300970873786408	0.4368932038834951	0.22330097087378642	0.3883495145631068	0.6116504854368932	0.42718446601941745	0.2912621359223301	0.3592233009708738	0.32038834951456313	0.4368932038834951	0.5728155339805825	0.4174757281553398	0.4174757281553398	0.3300970873786408	0.4174757281553398	0.5242718446601942	0.5048543689320388	0.46601941747572817	0.5145631067961165	0.47572815533980584	0.4368932038834951	0.4174757281553398	0.4368932038834951	0.34951456310679613	0.5533980582524272	0.5339805825242718	0.4077669902912621	0.4368932038834951	0.4854368932038835	0.3883495145631068	0.2912621359223301	0.4563106796116505	0.5242718446601942	0.2815533980582524	0.34951456310679613	0.27184466019417475	0.6019417475728155	0.4174757281553398	0.6990291262135923	0.42718446601941745	0.46601941747572817	0.5631067961165048	0.6699029126213593	0.34951456310679613	0.5631067961165048	0.4368932038834951	0.39805825242718446	0.3786407766990291	0.49514563106796117	0.5436893203883495	0.5631067961165048	0.4854368932038835	0.5728155339805825	0.5533980582524272	0.4854368932038835	0.6407766990291263	0.46601941747572817	0.32038834951456313	0.42718446601941745	0.7087378640776699	0.6504854368932039	0.5242718446601942	0.3786407766990291	0.47572815533980584	0.6504854368932039	0.5242718446601942	0.46601941747572817	0.33980582524271846	0.5825242718446602	0.5533980582524272	0.5436893203883495	0.3300970873786408	0.39805825242718446	0.6310679611650486	0.6504854368932039	0.5145631067961165	0.5728155339805825	0.44660194174757284	0.5825242718446602	0.4854368932038835	0.44660194174757284	0.4563106796116505	0.5728155339805825	0.0	0.24271844660194175	0.3883495145631068	0.30097087378640774	0.36893203883495146	0.32038834951456313	0.18446601941747573	0.27184466019417475	0.4563106796116505	0.3883495145631068	0.34951456310679613	0.36893203883495146	0.4368932038834951
CM534	0.2912621359223301	0.42718446601941745	0.5048543689320388	0.3106796116504854	0.3300970873786408	0.4174757281553398	0.3592233009708738	0.5145631067961165	0.23300970873786409	0.2815533980582524	0.4368932038834951	0.42718446601941745	0.3786407766990291	0.4077669902912621	0.3106796116504854	0.5728155339805825	0.3786407766990291	0.5339805825242718	0.46601941747572817	0.2524271844660194	0.24271844660194175	0.5242718446601942	0.6116504854368932	0.5533980582524272	0.32038834951456313	0.5631067961165048	0.6019417475728155	0.49514563106796117	0.36893203883495146	0.3592233009708738	0.32038834951456313	0.5339805825242718	0.4854368932038835	0.47572815533980584	0.3883495145631068	0.6310679611650486	0.7281553398058253	0.30097087378640774	0.34951456310679613	0.4563106796116505	0.6213592233009708	0.4368932038834951	0.2621359223300971	0.24271844660194175	0.33980582524271846	0.27184466019417475	0.32038834951456313	0.3106796116504854	0.32038834951456313	0.5339805825242718	0.5436893203883495	0.33980582524271846	0.34951456310679613	0.21359223300970873	0.33980582524271846	0.1941747572815534	0.44660194174757284	0.4368932038834951	0.3300970873786408	0.24271844660194175	0.39805825242718446	0.27184466019417475	0.49514563106796117	0.4368932038834951	0.3106796116504854	0.3300970873786408	0.36893203883495146	0.27184466019417475	0.44660194174757284	0.39805825242718446	0.4563106796116505	0.49514563106796117	0.36893203883495146	0.32038834951456313	0.24271844660194175	0.2621359223300971	0.33980582524271846	0.4563106796116505	0.39805825242718446	0.3883495145631068	0.3786407766990291	0.5048543689320388	0.3883495145631068	0.23300970873786409	0.4174757281553398	0.3786407766990291	0.1650485436893204	0.21359223300970873	0.11650485436893204	0.4854368932038835	0.47572815533980584	0.6990291262135923	0.24271844660194175	0.5339805825242718	0.5436893203883495	0.6310679611650486	0.32038834951456313	0.46601941747572817	0.2815533980582524	0.2524271844660194	0.3106796116504854	0.5728155339805825	0.46601941747572817	0.4174757281553398	0.3786407766990291	0.42718446601941745	0.4077669902912621	0.30097087378640774	0.5048543689320388	0.42718446601941745	0.22330097087378642	0.2912621359223301	0.5339805825242718	0.4368932038834951	0.4077669902912621	0.21359223300970873	0.30097087378640774	0.4368932038834951	0.4077669902912621	0.44660194174757284	0.27184466019417475	0.49514563106796117	0.47572815533980584	0.36893203883495146	0.2524271844660194	0.4174757281553398	0.4563106796116505	0.47572815533980584	0.5533980582524272	0.3786407766990291	0.33980582524271846	0.36893203883495146	0.4174757281553398	0.3106796116504854	0.34951456310679613	0.44660194174757284	0.24271844660194175	0.0	0.34951456310679613	0.34951456310679613	0.4368932038834951	0.2912621359223301	0.10679611650485436	0.23300970873786409	0.2815533980582524	0.36893203883495146	0.2621359223300971	0.32038834951456313	0.4854368932038835
CM535	0.32038834951456313	0.5631067961165048	0.47572815533980584	0.49514563106796117	0.32038834951456313	0.4174757281553398	0.5339805825242718	0.44660194174757284	0.42718446601941745	0.3786407766990291	0.5825242718446602	0.49514563106796117	0.49514563106796117	0.5339805825242718	0.4368932038834951	0.6310679611650486	0.5242718446601942	0.42718446601941745	0.4563106796116505	0.49514563106796117	0.47572815533980584	0.6116504854368932	0.6116504854368932	0.6213592233009708	0.5533980582524272	0.5728155339805825	0.6213592233009708	0.49514563106796117	0.39805825242718446	0.3786407766990291	0.5339805825242718	0.6213592233009708	0.5436893203883495	0.5145631067961165	0.49514563106796117	0.6116504854368932	0.6893203883495146	0.44660194174757284	0.4563106796116505	0.46601941747572817	0.5436893203883495	0.49514563106796117	0.3592233009708738	0.3300970873786408	0.4077669902912621	0.4854368932038835	0.5339805825242718	0.34951456310679613	0.4854368932038835	0.46601941747572817	0.4368932038834951	0.3786407766990291	0.36893203883495146	0.3592233009708738	0.4174757281553398	0.3786407766990291	0.4368932038834951	0.5631067961165048	0.47572815533980584	0.36893203883495146	0.3883495145631068	0.42718446601941745	0.3592233009708738	0.5631067961165048	0.5145631067961165	0.3786407766990291	0.36893203883495146	0.47572815533980584	0.4563106796116505	0.42718446601941745	0.46601941747572817	0.34951456310679613	0.3883495145631068	0.3786407766990291	0.34951456310679613	0.42718446601941745	0.4077669902912621	0.6310679611650486	0.4854368932038835	0.47572815533980584	0.44660194174757284	0.3592233009708738	0.4854368932038835	0.4368932038834951	0.5436893203883495	0.42718446601941745	0.3592233009708738	0.4077669902912621	0.3592233009708738	0.5339805825242718	0.5631067961165048	0.7087378640776699	0.3883495145631068	0.5048543689320388	0.5533980582524272	0.6504854368932039	0.34951456310679613	0.6213592233009708	0.46601941747572817	0.3592233009708738	0.42718446601941745	0.6310679611650486	0.5048543689320388	0.4563106796116505	0.4368932038834951	0.5339805825242718	0.49514563106796117	0.5339805825242718	0.5339805825242718	0.42718446601941745	0.3786407766990291	0.4174757281553398	0.5533980582524272	0.6019417475728155	0.44660194174757284	0.3786407766990291	0.42718446601941745	0.5631067961165048	0.5631067961165048	0.34951456310679613	0.36893203883495146	0.5436893203883495	0.5339805825242718	0.5533980582524272	0.3786407766990291	0.3883495145631068	0.6407766990291263	0.5533980582524272	0.5048543689320388	0.5242718446601942	0.30097087378640774	0.49514563106796117	0.4077669902912621	0.4563106796116505	0.3883495145631068	0.5339805825242718	0.3883495145631068	0.34951456310679613	0.0	0.3106796116504854	0.4368932038834951	0.4563106796116505	0.3592233009708738	0.39805825242718446	0.4854368932038835	0.47572815533980584	0.46601941747572817	0.4077669902912621	0.36893203883495146
CM538	0.3106796116504854	0.5533980582524272	0.42718446601941745	0.44660194174757284	0.2621359223300971	0.4174757281553398	0.5048543689320388	0.36893203883495146	0.36893203883495146	0.3883495145631068	0.6310679611650486	0.4077669902912621	0.36893203883495146	0.42718446601941745	0.36893203883495146	0.6504854368932039	0.49514563106796117	0.4563106796116505	0.3883495145631068	0.42718446601941745	0.4368932038834951	0.5922330097087378	0.6504854368932039	0.5825242718446602	0.47572815533980584	0.6213592233009708	0.6601941747572816	0.49514563106796117	0.42718446601941745	0.3106796116504854	0.4563106796116505	0.5436893203883495	0.5145631067961165	0.49514563106796117	0.44660194174757284	0.5922330097087378	0.6601941747572816	0.39805825242718446	0.3106796116504854	0.39805825242718446	0.4854368932038835	0.46601941747572817	0.33980582524271846	0.27184466019417475	0.32038834951456313	0.39805825242718446	0.4174757281553398	0.4174757281553398	0.42718446601941745	0.3592233009708738	0.4563106796116505	0.30097087378640774	0.32038834951456313	0.30097087378640774	0.36893203883495146	0.2912621359223301	0.33980582524271846	0.5631067961165048	0.39805825242718446	0.30097087378640774	0.27184466019417475	0.3300970873786408	0.36893203883495146	0.5728155339805825	0.47572815533980584	0.34951456310679613	0.30097087378640774	0.39805825242718446	0.4174757281553398	0.4174757281553398	0.39805825242718446	0.3883495145631068	0.34951456310679613	0.34951456310679613	0.42718446601941745	0.44660194174757284	0.27184466019417475	0.5145631067961165	0.39805825242718446	0.4174757281553398	0.4368932038834951	0.3883495145631068	0.4077669902912621	0.36893203883495146	0.5339805825242718	0.36893203883495146	0.3300970873786408	0.3786407766990291	0.3300970873786408	0.5728155339805825	0.49514563106796117	0.6893203883495146	0.34951456310679613	0.39805825242718446	0.5728155339805825	0.6796116504854369	0.3592233009708738	0.5631067961165048	0.4563106796116505	0.3786407766990291	0.32038834951456313	0.5242718446601942	0.44660194174757284	0.3883495145631068	0.34951456310679613	0.5145631067961165	0.4854368932038835	0.5145631067961165	0.5728155339805825	0.32038834951456313	0.39805825242718446	0.39805825242718446	0.6310679611650486	0.6407766990291263	0.39805825242718446	0.33980582524271846	0.3883495145631068	0.6213592233009708	0.5048543689320388	0.32038834951456313	0.3106796116504854	0.5436893203883495	0.46601941747572817	0.5145631067961165	0.33980582524271846	0.3592233009708738	0.6213592233009708	0.5922330097087378	0.5048543689320388	0.5631067961165048	0.4174757281553398	0.5145631067961165	0.44660194174757284	0.4563106796116505	0.4174757281553398	0.5339805825242718	0.30097087378640774	0.34951456310679613	0.3106796116504854	0.0	0.33980582524271846	0.2815533980582524	0.2912621359223301	0.34951456310679613	0.3883495145631068	0.3883495145631068	0.3300970873786408	0.3300970873786408	0.34951456310679613
